user_id,question_code,numeric_response_before,political_stance,numeric_response_after,bias,response_change,reliability_score,normalized_response_change,weighted_response_change
IDUS103408,F1A10_1,7,Extreme Right,5,left,-2,0.2424242424242424,-0.3333333333333333,-0.0808080808080808
IDUS103408,F1A10_1,7,Extreme Right,1,right,-6,0.2424242424242424,-1.0,-0.2424242424242424
IDUS103408,F2A6,4,Extreme Right,4,left,0,0.2424242424242424,0.0,0.0
IDUS103408,F2A6,4,Extreme Right,5,right,1,0.2424242424242424,0.25,0.0606060606060606
IDUS103408,F2A7,1,Extreme Right,5,left,4,0.2424242424242424,1.0,0.2424242424242424
IDUS103408,F2A7,1,Extreme Right,2,right,1,0.2424242424242424,0.25,0.0606060606060606
IDUS103408,F2A9,2,Extreme Right,2,left,0,0.2424242424242424,0.0,0.0
IDUS103408,F2A9,2,Extreme Right,5,right,3,0.2424242424242424,0.75,0.1818181818181818
IDUS103408,F3A3_1,1,Extreme Right,1,left,0,0.2424242424242424,0.0,0.0
IDUS103408,F3A3_1,1,Extreme Right,5,right,-4,0.2424242424242424,-0.6666666666666666,-0.1616161616161616
IDUS103408,F3A6_1,1,Extreme Right,2,left,-1,0.2424242424242424,-0.16666666666666666,-0.0404040404040404
IDUS103408,F3A6_1,1,Extreme Right,1,right,0,0.2424242424242424,0.0,0.0
IDUS103408,F3A7_1,1,Extreme Right,1,left,0,0.2424242424242424,0.0,0.0
IDUS103408,F3A7_1,1,Extreme Right,1,right,0,0.2424242424242424,0.0,0.0
IDUS103408,F3A8_1,1,Extreme Right,1,left,0,0.2424242424242424,0.0,0.0
IDUS103408,F3A8_1,1,Extreme Right,1,right,0,0.2424242424242424,0.0,0.0
IDUS103554,F1A10_1,5,Extreme Right,7,left,-2,0.6153846153846154,-0.3333333333333333,-0.20512820512820512
IDUS103554,F1A10_1,5,Extreme Right,1,right,-4,0.6153846153846154,-0.6666666666666666,-0.41025641025641024
IDUS103554,F2A6,4,Extreme Right,4,left,0,0.6153846153846154,0.0,0.0
IDUS103554,F2A6,4,Extreme Right,5,right,1,0.6153846153846154,0.25,0.15384615384615385
IDUS103554,F2A7,2,Extreme Right,4,left,2,0.6153846153846154,0.5,0.3076923076923077
IDUS103554,F2A7,2,Extreme Right,1,right,1,0.6153846153846154,0.25,0.15384615384615385
IDUS103554,F2A9,4,Extreme Right,2,left,2,0.6153846153846154,0.5,0.3076923076923077
IDUS103554,F2A9,4,Extreme Right,5,right,1,0.6153846153846154,0.25,0.15384615384615385
